Gene_ID	module
AgateH2.01G151500	firebrick4
AgateH2.01G152100	darkmagenta
AgateH2.01G152300	brown
AgateH2.01G152400	orange
AgateH2.01G152700	salmon4
AgateH2.01G153000	darkred
AgateH2.01G153100	floralwhite
AgateH2.01G153300	firebrick4
AgateH2.01G153400	lightslateblue
AgateH2.01G153500	firebrick4
AgateH2.01G153600	cyan
AgateH2.01G153800	orangered4
AgateH2.01G154600	darkorange2
AgateH2.01G154900	darkgrey
AgateH2.01G155200	honeydew
AgateH2.01G155500	coral3
AgateH2.01G155600	coral2
AgateH2.01G155900	lightcyan
AgateH2.01G156000	orangered4
AgateH2.01G156100	firebrick3
AgateH2.01G156200	firebrick3
AgateH2.01G156400	floralwhite
AgateH2.01G156500	violet
AgateH2.01G156800	brown
AgateH2.01G157000	blue
AgateH2.01G157100	saddlebrown
AgateH2.01G157200	brown2
AgateH2.01G157300	thistle3
AgateH2.01G157400	blue
AgateH2.01G157500	floralwhite
AgateH2.01G158000	orangered4
AgateH2.01G158100	red
AgateH2.01G158200	darkolivegreen
AgateH2.01G158300	orange
AgateH2.01G158400	mediumpurple3
AgateH2.01G158500	firebrick4
AgateH2.01G158600	grey60
